"PartNumber","PartDescription","PartDetails","UOM","UPC","PartType","Active","ABCCode","Weight","WeightUOM","Width","Height","Length","SizeUOM","PrimaryTracking","AlertNote","PictureUrl","Tracks-Lot Number","Tracks-Revision Level","Tracks-Expiration Date","Tracks-Serial Number","CF-Custom1","CF-Custom2","CF-Custom3","CF-Custom4"
"RS-32202","SM Resistor // 2.2K Ohm 5% 1/4 W 1210 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERJ-14YJ2.2K",,,
"RS-35100","SM Resistor // 51 Ohm 5% 1/4 W 1206 Chip Resistor  RoHS","ROHS Compliant","ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo // RC1206JR-0751RL",,,
"RS-33003","SM Resistor // 30K Ohm 5% 1/4W 1210 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // ERJ-14YJ30K",,,
"RS-40047","SM Resistor // 4.7 Ohm 5% 1/4W 1206 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // 9C12063A4R70J",,,
"RS-40000","Zero ohm 1206 Chip Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // RC1206JR-070R",,,
"RB-01874","Resistor  1% // 187K ohm 1% 1/4 Watt Metal Film Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // MFR-25FBF-187",,,
"RB-02321","Resistor  1% // 2.32K ohm  1% 1/4 Watt Metal Film Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // MFR-25FRF-2K3",,,
"RB-02430","Resistor  1% // 243 ohm  1% 1/4 Watt Metal Flm Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // MFR-25FBF-243",,,
"RB-03011","Resistor  1% // 3.01K ohm  1% 1/4 Watt Metal Flm Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // MFR-25FBF-3K0",,,
"RB-03482","Resistor  1% // 34.8K  1% 1/4 Watt Metal Flm Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo // MFR-25FBF-34K8",,,
"RB-07150","Resistor  1% // 715 ohm  1% 1/4 Watt Metal Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // 0",,,
"RB-07501","Resistor  1% // 7.50K ohm  1% 1/4 Watt Metal Flm Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // MFR-25FBF-7K5",,,
"RB-09424","Resistor 1% // 1.37K ohm 1% 1/4 Watt Metal Film Resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // MFR-25FBF-1K3",,,
"RN-00002","Pot // 100K ohm  15 Turn 3/4",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Bourns // 3006P-1-104",,,
"RP-05332","SIP Resistor // 3.3K x 5  SIP Resistor - Common Terminal",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // EXB-F6E332G",,,
